Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,111.949997,114.500000,105.699997,110.900002,84.214722,9283
2012-01-03,110.650002,116.000000,106.650002,111.849998,84.936142,15330
2012-01-04,110.000000,116.250000,108.099998,115.199997,87.480042,5844
2012-01-05,115.300003,116.400002,112.050003,114.099998,86.644722,12400
2012-01-06,114.900002,114.900002,110.150002,113.349998,86.075195,1368
2012-01-07,null,null,null,null,null,null
2012-01-09,113.250000,117.949997,113.250000,115.800003,87.935669,4496
2012-01-10,119.000000,120.400002,115.000000,120.050003,91.163033,7467
2012-01-11,121.000000,122.800003,120.500000,122.050003,92.681763,6576
2012-01-12,124.750000,124.949997,119.500000,120.250000,91.314896,5161
2012-01-13,125.000000,125.000000,117.199997,120.599998,91.580666,450431
2012-01-16,120.199997,121.449997,119.300003,120.050003,91.163033,39537
2012-01-17,120.099998,128.000000,120.000000,124.800003,94.770035,22745
2012-01-18,125.900002,131.500000,125.099998,126.599998,96.136909,191464
2012-01-19,129.000000,137.300003,128.000000,135.449997,102.857414,77066
2012-01-20,136.899994,137.000000,130.149994,135.149994,102.629570,31140
2012-01-23,141.949997,145.000000,133.000000,136.300003,103.502869,11793
2012-01-24,138.949997,139.300003,135.149994,137.949997,104.755829,9302
2012-01-25,139.149994,140.750000,135.649994,138.649994,105.287384,304777
2012-01-27,139.000000,139.899994,136.000000,137.199997,104.186302,104369
2012-01-30,135.350006,137.500000,131.250000,132.949997,100.958961,3182
2012-01-31,133.100006,136.000000,131.000000,135.000000,102.515686,350828
2012-02-01,134.000000,135.600006,131.699997,135.000000,102.515686,4143
2012-02-02,136.000000,138.949997,131.350006,134.250000,101.946152,6389
2012-02-03,134.000000,136.449997,133.000000,136.000000,103.275047,11370
2012-02-06,139.500000,141.500000,135.199997,140.449997,106.654266,10548
2012-02-07,140.000000,141.699997,138.000000,139.949997,106.274605,14731
2012-02-08,139.949997,142.000000,137.100006,140.899994,106.995995,13856
2012-02-09,140.000000,141.000000,138.600006,140.100006,106.388504,4616
2012-02-10,139.000000,143.500000,138.100006,142.500000,108.210991,3921
2012-02-13,141.000000,141.500000,138.350006,141.000000,107.071915,12217
2012-02-14,142.000000,144.000000,139.149994,143.850006,109.236145,6129
2012-02-15,142.199997,146.800003,141.850006,145.399994,110.413155,16494
2012-02-16,148.000000,148.000000,143.000000,145.250000,110.299263,3918
2012-02-17,146.000000,149.850006,144.500000,149.050003,113.184891,16677
2012-02-21,148.899994,149.899994,145.399994,147.350006,111.893959,7462
2012-02-22,146.000000,148.600006,139.000000,141.800003,107.679443,10918
2012-02-23,140.000000,142.000000,138.399994,141.199997,107.223793,36992
2012-02-24,142.000000,148.500000,140.500000,146.500000,111.248489,41112
